Nombre,Tamaño,Microsegundos
Backtrack,0,1
Backtrack,0,1
Backtrack,0,0
Backtrack,0,0
Backtrack,0,0
Backtrack,0,0
Backtrack,0,1
Backtrack,0,0
Backtrack,0,0
Backtrack,0,0
Backtrack,0,0
Backtrack,0,1
Backtrack,0,0
Backtrack,0,0
Backtrack,0,9
Backtrack,0,0
Backtrack,0,0
Backtrack,0,0
Backtrack,0,0
Backtrack,0,0
Backtrack,1,1
Backtrack,1,1
Backtrack,1,0
Backtrack,1,1
Backtrack,1,0
Backtrack,1,1
Backtrack,1,0
Backtrack,1,1
Backtrack,1,0
Backtrack,1,0
Backtrack,1,1
Backtrack,1,0
Backtrack,1,0
Backtrack,1,1
Backtrack,1,1
Backtrack,1,1
Backtrack,1,1
Backtrack,1,1
Backtrack,1,1
Backtrack,1,0
Backtrack,2,1
Backtrack,2,0
Backtrack,2,1
Backtrack,2,1
Backtrack,2,1
Backtrack,2,0
Backtrack,2,1
Backtrack,2,0
Backtrack,2,1
Backtrack,2,1
Backtrack,2,2
Backtrack,2,0
Backtrack,2,0
Backtrack,2,0
Backtrack,2,0
Backtrack,2,1
Backtrack,2,1
Backtrack,2,0
Backtrack,2,1
Backtrack,2,0
Backtrack,3,2
Backtrack,3,2
Backtrack,3,1
Backtrack,3,2
Backtrack,3,2
Backtrack,3,2
Backtrack,3,2
Backtrack,3,1
Backtrack,3,1
Backtrack,3,1
Backtrack,3,1
Backtrack,3,1
Backtrack,3,1
Backtrack,3,1
Backtrack,3,1
Backtrack,3,2
Backtrack,3,1
Backtrack,3,2
Backtrack,3,2
Backtrack,3,2
Backtrack,4,3
Backtrack,4,2
Backtrack,4,3
Backtrack,4,3
Backtrack,4,2
Backtrack,4,3
Backtrack,4,2
Backtrack,4,2
Backtrack,4,2
Backtrack,4,2
Backtrack,4,2
Backtrack,4,2
Backtrack,4,2
Backtrack,4,2
Backtrack,4,2
Backtrack,4,2
Backtrack,4,3
Backtrack,4,3
Backtrack,4,4
Backtrack,4,2
Backtrack,5,5
Backtrack,5,4
Backtrack,5,5
Backtrack,5,5
Backtrack,5,4
Backtrack,5,4
Backtrack,5,5
Backtrack,5,4
Backtrack,5,4
Backtrack,5,5
Backtrack,5,5
Backtrack,5,5
Backtrack,5,5
Backtrack,5,4
Backtrack,5,4
Backtrack,5,4
Backtrack,5,4
Backtrack,5,5
Backtrack,5,5
Backtrack,5,4
Backtrack,6,10
Backtrack,6,9
Backtrack,6,9
Backtrack,6,9
Backtrack,6,9
Backtrack,6,9
Backtrack,6,8
Backtrack,6,9
Backtrack,6,17
Backtrack,6,9
Backtrack,6,9
Backtrack,6,9
Backtrack,6,9
Backtrack,6,9
Backtrack,6,11
Backtrack,6,18
Backtrack,6,9
Backtrack,6,9
Backtrack,6,9
Backtrack,6,9
Backtrack,7,20
Backtrack,7,26
Backtrack,7,17
Backtrack,7,17
Backtrack,7,26
Backtrack,7,19
Backtrack,7,18
Backtrack,7,19
Backtrack,7,26
Backtrack,7,26
Backtrack,7,18
Backtrack,7,18
Backtrack,7,18
Backtrack,7,18
Backtrack,7,18
Backtrack,7,18
Backtrack,7,18
Backtrack,7,18
Backtrack,7,18
Backtrack,7,18
Backtrack,8,54
Backtrack,8,33
Backtrack,8,32
Backtrack,8,42
Backtrack,8,34
Backtrack,8,34
Backtrack,8,34
Backtrack,8,34
Backtrack,8,34
Backtrack,8,35
Backtrack,8,50
Backtrack,8,34
Backtrack,8,34
Backtrack,8,34
Backtrack,8,34
Backtrack,8,34
Backtrack,8,34
Backtrack,8,34
Backtrack,8,34
Backtrack,8,35
Backtrack,9,80
Backtrack,9,63
Backtrack,9,61
Backtrack,9,70
Backtrack,9,67
Backtrack,9,66
Backtrack,9,66
Backtrack,9,65
Backtrack,9,66
Backtrack,9,66
Backtrack,9,66
Backtrack,9,65
Backtrack,9,82
Backtrack,9,66
Backtrack,9,66
Backtrack,9,66
Backtrack,9,66
Backtrack,9,66
Backtrack,9,66
Backtrack,9,66
Backtrack,10,131
Backtrack,10,134
Backtrack,10,129
Backtrack,10,138
Backtrack,10,122
Backtrack,10,122
Backtrack,10,138
Backtrack,10,122
Backtrack,10,122
Backtrack,10,122
Backtrack,10,122
Backtrack,10,122
Backtrack,10,122
Backtrack,10,122
Backtrack,10,122
Backtrack,10,122
Backtrack,10,122
Backtrack,10,122
Backtrack,10,122
Backtrack,10,122
Backtrack,11,226
Backtrack,11,213
Backtrack,11,223
Backtrack,11,221
Backtrack,11,205
Backtrack,11,204
Backtrack,11,205
Backtrack,11,205
Backtrack,11,205
Backtrack,11,205
Backtrack,11,205
Backtrack,11,205
Backtrack,11,206
Backtrack,11,206
Backtrack,11,206
Backtrack,11,206
Backtrack,11,205
Backtrack,11,205
Backtrack,11,205
Backtrack,11,220
Backtrack,12,317
Backtrack,12,307
Backtrack,12,306
Backtrack,12,307
Backtrack,12,306
Backtrack,12,305
Backtrack,12,306
Backtrack,12,305
Backtrack,12,307
Backtrack,12,306
Backtrack,12,306
Backtrack,12,305
Backtrack,12,324
Backtrack,12,307
Backtrack,12,308
Backtrack,12,306
Backtrack,12,306
Backtrack,12,306
Backtrack,12,305
Backtrack,12,306
Backtrack,13,501
Backtrack,13,492
Backtrack,13,490
Backtrack,13,497
Backtrack,13,490
Backtrack,13,488
Backtrack,13,489
Backtrack,13,488
Backtrack,13,488
Backtrack,13,489
Backtrack,13,488
Backtrack,13,492
Backtrack,13,461
Backtrack,13,461
Backtrack,13,461
Backtrack,13,460
Backtrack,13,462
Backtrack,13,461
Backtrack,13,461
Backtrack,13,467
Backtrack,14,726
Backtrack,14,716
Backtrack,14,715
Backtrack,14,713
Backtrack,14,712
Backtrack,14,720
Backtrack,14,717
Backtrack,14,717
Backtrack,14,714
Backtrack,14,715
Backtrack,14,716
Backtrack,14,699
Backtrack,14,678
Backtrack,14,677
Backtrack,14,676
Backtrack,14,676
Backtrack,14,681
Backtrack,14,705
Backtrack,14,677
Backtrack,14,678
Backtrack,15,1044
Backtrack,15,1008
Backtrack,15,1024
Backtrack,15,991
Backtrack,15,990
Backtrack,15,1000
Backtrack,15,939
Backtrack,15,939
Backtrack,15,938
Backtrack,15,940
Backtrack,15,945
Backtrack,15,939
Backtrack,15,941
Backtrack,15,939
Backtrack,15,951
Backtrack,15,944
Backtrack,15,943
Backtrack,15,938
Backtrack,15,937
Backtrack,15,900
Backtrack,16,1319
Backtrack,16,1305
Backtrack,16,1310
Backtrack,16,1302
Backtrack,16,1300
Backtrack,16,1308
Backtrack,16,1301
Backtrack,16,1300
Backtrack,16,1268
Backtrack,16,1242
Backtrack,16,1242
Backtrack,16,1248
Backtrack,16,1243
Backtrack,16,1243
Backtrack,16,1249
Backtrack,16,1243
Backtrack,16,1242
Backtrack,16,1247
Backtrack,16,1187
Backtrack,16,1186
Backtrack,17,1796
Backtrack,17,1776
Backtrack,17,1780
Backtrack,17,1771
Backtrack,17,1773
Backtrack,17,1735
Backtrack,17,1700
Backtrack,17,1707
Backtrack,17,1699
Backtrack,17,1705
Backtrack,17,1698
Backtrack,17,1696
Backtrack,17,1664
Backtrack,17,1631
Backtrack,17,1635
Backtrack,17,1629
Backtrack,17,1631
Backtrack,17,1637
Backtrack,17,1631
Backtrack,17,1624
Backtrack,18,2319
Backtrack,18,2312
Backtrack,18,2302
Backtrack,18,2303
Backtrack,18,2312
Backtrack,18,2217
Backtrack,18,2218
Backtrack,18,2216
Backtrack,18,2218
Backtrack,18,2213
Backtrack,18,2175
Backtrack,18,2133
Backtrack,18,2140
Backtrack,18,2137
Backtrack,18,2137
Backtrack,18,2145
Backtrack,18,2061
Backtrack,18,2066
Backtrack,18,2067
Backtrack,18,2064
Backtrack,19,3161
Backtrack,19,3071
Backtrack,19,3046
Backtrack,19,3049
Backtrack,19,3039
Backtrack,19,2966
Backtrack,19,2947
Backtrack,19,2945
Backtrack,19,2946
Backtrack,19,2871
Backtrack,19,2846
Backtrack,19,2847
Backtrack,19,2840
Backtrack,19,2800
Backtrack,19,2762
Backtrack,19,2759
Backtrack,19,2762
Backtrack,19,2746
Backtrack,19,2678
Backtrack,19,2682
Backtrack,20,4329
Backtrack,20,4246
Backtrack,20,4191
Backtrack,20,4186
Backtrack,20,4100
Backtrack,20,4068
Backtrack,20,4075
Backtrack,20,3984
Backtrack,20,3956
Backtrack,20,3982
Backtrack,20,3963
Backtrack,20,3957
Backtrack,20,3958
Backtrack,20,3960
Backtrack,20,3978
Backtrack,20,3979
Backtrack,20,3964
Backtrack,20,3966
Backtrack,20,3951
Backtrack,20,3956
Backtrack,21,6971
Backtrack,21,6793
Backtrack,21,6765
Backtrack,21,6782
Backtrack,21,6789
Backtrack,21,6765
Backtrack,21,6765
Backtrack,21,6779
Backtrack,21,6771
Backtrack,21,6757
Backtrack,21,6782
Backtrack,21,6779
Backtrack,21,6772
Backtrack,21,6783
Backtrack,21,6763
Backtrack,21,6755
Backtrack,21,6758
Backtrack,21,6767
Backtrack,21,6760
Backtrack,21,6808
Backtrack,22,12235
